"","RC1","RC5","RC2","RC3","RC4"
"E_36_.1",0.00197021667162805,-0.0738125733060586,0.540445400707239,0.104124556563174,0.102185153817463
"E_51_.1",-0.0285600755280039,-0.0851559394986306,0.380635407080107,0.171416758403469,-0.100858243093137
"C_13_1",0.41616236068319,0.0808973048250179,0.494084381596858,-0.161353075992808,-0.213218368174119
"C_18_1",-0.0378778212026047,0.111751836862409,0.469490935846579,-0.0204820076037722,-0.0949080002629247
"C_33_1",0.0584551088394637,0.091559870765715,0.659932561357601,-0.0718209526078036,0.262432739503321
"C_38_1",0.679642410764812,0.417413204436142,0.0889444551087738,0.141530010310996,-0.263991455533983
"C_43_1",0.680417768794217,0.309058593367051,0.0369891874807387,0.280489598202667,-0.0419299207035104
"C_53_1",0.718908379678311,0.304225734905129,0.212111769049028,0.055974194823188,-0.183230480724165
"C_3_.1",-0.0687809785940866,0.0471668160684809,0.14632592170712,0.0243664193658183,0.397100516969488
"C_8_.1",-0.385925305812061,-0.153054059198028,-0.407785056678616,-0.0621547096028116,0.590940823645434
"C_23_.1",-0.266300884040386,-0.0552548088024367,-0.0786211219678605,-0.00711579707996862,0.230902445607853
"C_28_.1",-0.535619862535168,0.0692029993474472,0.100276736834239,-0.0783819242286888,-0.000929663545795678
"C_48_.1",0.0646871451641503,-0.250443378667214,0.0997189633283781,0.00818074509401575,0.153193361974151
"C_58_.1",-0.496854450145355,0.0533755869712365,-0.220165979912779,0.176276640669722,0.300592580460566
"A_2_1",0.521949866456285,0.107300304796421,-0.389008603645096,0.18798815762028,-0.0935926069756391
"A_7_1",0.378215188582196,0.160929398910367,0.456771565138675,-0.0758424981249649,-0.460891184479002
"A_27_1",0.186887489941581,0.326321355969454,0.021803832154821,-0.423264323323366,-0.238526268764448
"A_32_1",0.703837176439573,0.20667886321335,-0.127303638291087,-0.147087495872069,-0.101304270971624
"A_52_1",0.671363637968642,0.188383650362851,-0.207814867701851,-0.0314044109852047,0.184886057690992
"A_57_1",0.646345641100581,-0.0490204778324544,-0.147184025486005,-0.241222261613007,0.00659949744687172
"A_12_.1",-0.0642613735057837,0.0792338735075804,0.362301151259635,0.00175396715007756,0.210650812974732
"A_17_.1",-0.0160439360248964,0.0595913275481342,0.235668678468019,-0.0771728123786006,0.335927468836817
"A_22_.1",0.184914578735294,-0.0211126690819024,0.207593196304697,0.50440240298267,-0.0201460422149937
"A_42_.1",-0.0609524050994956,0.00442395872694789,0.00917852377493391,0.679166600150678,-0.0101958590874978
"A_47_.1",0.100060207836487,-0.220770634451166,0.281649320280942,0.244523015893367,0.00748910402276489
"N_14_1",-0.324233122710819,0.196508108803468,-0.00544743209200539,0.452314871416297,-0.035565205133398
"N_19_1",-0.0435090877369499,0.0906607330926191,0.141284142388709,0.362242309906508,-0.0170743064388355
"N_34_1",-0.180337753108135,0.0216379709041703,0.129384957469449,0.0751893851451894,0.555036711634218
"N_39_1",-0.089547327663818,0.0232303028339487,-0.353656973763639,0.702937390188819,0.271296670727595
"N_54_1",-0.30461559246974,0.023670247468208,-0.220402369936409,0.289439090487845,0.604084394908881
"N_59_1",-0.163154560555639,-0.0519883175339532,-0.113732467564648,0.723136356461059,0.199936832657743
"N_4_.1",0.395533970524009,0.093933142649664,0.0448218372516182,-0.377211078580637,0.108446592439846
"N_9_.1",0.43561942057512,0.581357317156685,-0.130951920017898,-0.274894758326543,0.0472107137644337
"N_24_.1",0.335518784542623,0.375153246273991,-0.00734148131101967,-0.476301284625743,-0.186901705189621
"N_29_.1",0.389710642937457,-0.0547848281058242,0.180158894609466,-0.10767506588466,-0.00520541784066456
"N_44_.1",-0.122843442127108,-0.0988053682168173,0.357901690762714,-0.139246609920893,-0.188621771310813
"N_49_.1",-0.0801150035833256,0.157345793170235,0.00640180221238791,-0.335692790671418,0.00514167447555467
