"","RC2","RC4","RC1","RC3","RC5"
"E_36_.1",0.241738672887617,0.0797271842234988,0.221930234902425,0.37333868304727,0.377636184816243
"E_51_.1",0.0175498205012957,-0.229034533399181,-0.188333270148052,0.0846352125422164,-0.172382815886597
"C_13_1",0.120738037666417,0.178813788481453,-0.259872590068258,-0.271347775643696,0.446428543921384
"C_18_1",0.0912886410196926,-0.228606151197577,0.493500734588078,-0.0715683000968487,-0.135050878349031
"C_33_1",-0.044610525241708,0.268737913780662,-0.469082675677992,0.0259276208155564,-0.204503165185131
"C_38_1",-0.0282421569056603,-0.0147950116349474,0.484140445754125,0.239204416532737,0.133215978893809
"C_43_1",0.257288952149298,0.0603914344507493,0.104859004211203,-0.0488442245166185,-0.0442398678551317
"C_53_1",0.3201125800544,0.015297142351893,-0.126357187716162,0.105441444416228,0.285975283306896
"C_3_.1",0.184384969326563,-0.107501479614635,-0.0599143726246654,0.0850314725844303,0.401417735602869
"C_8_.1",-0.288708109259009,-0.175647732517347,-0.463409625010169,0.242618738280049,0.0871325376696241
"C_23_.1",0.142431597410284,0.225880699675992,-0.0521762564384042,-0.311900441190923,0.407804294996451
"C_28_.1",-0.0659682003121521,-0.00578614652470706,-0.00785530630243567,0.192972052596438,0.437887254578518
"C_48_.1",0.0458882352376624,0.0637253226991385,0.120337078397451,-0.326677926868339,-0.171576587010427
"C_58_.1",0.368235510375454,-0.0878966563427026,0.0200768154354258,-0.423003013677914,0.0655742129866155
"A_2_1",-0.0709208271009061,-0.10144290851224,-0.0168098830685211,-0.124502367858378,-0.0470146167574668
"A_7_1",0.298399906787627,0.0364465072044352,-0.0804985589945281,0.0805704463677245,-0.215402155424451
"A_27_1",0.233786061643387,0.0112708315174668,0.448039781199846,0.273293155277283,-0.184136849287222
"A_32_1",0.0744055440371553,0.105788485978711,-0.316808037249413,0.135344178583696,0.162401701358305
"A_52_1",0.0994324174311776,0.149988738621397,-0.170839988890801,0.0635926663750815,-0.206386188114467
"A_57_1",-0.363462807556106,0.368030172361475,0.263956010479428,0.0799314889521494,0.182121608654375
"A_12_.1",0.177172634240903,0.453884406076478,0.156939399573878,-0.0167905336579468,-0.0610011785896114
"A_17_.1",-0.115467935070275,-0.393004091938765,0.118474990340937,-0.0230799797680891,-0.0102048197520968
"A_22_.1",-0.12950745508193,-0.375169430736065,0.004855530159156,-0.213183476168185,-0.0192678829635306
"A_37_.1",-0.268601630494717,0.0725637207793316,0.297947528355288,0.155418564616747,-0.124027267401216
"A_42_.1",0.493760267138479,-0.0915139553926542,0.146329388511003,-0.0426111951021071,0.0498956281691898
"A_47_.1",0.168889889038588,0.292821986223767,-0.0901896663833508,-0.205569440676039,-0.156316615190765
"N_14_1",-0.0608809780812432,-0.106547624910029,0.171865930531018,-0.183428141555595,0.441612434722507
"N_19_1",-0.0916231121264164,0.376722699822383,0.19531676205118,-0.0469480521360898,0.175397688461672
"N_34_1",-0.350883663090452,-0.0424663371153395,0.255421819191257,0.104197800927817,0.194179184697251
"N_39_1",0.302703335465881,0.290662529186679,-0.101263675275167,0.242678947233711,-0.110146479233887
"N_54_1",-0.184970862200586,-0.181623531558154,0.093422793868483,0.326246605255176,0.113787091120125
"N_59_1",-0.0233491690377735,-0.237657998265053,0.185854789763112,-0.193920391035935,-0.115551473532207
"N_4_.1",-0.362111265772284,0.164455910340714,-0.143107449002049,0.226967952772417,-0.250033063969203
"N_9_.1",0.179095679701169,0.158927554657709,0.0351105620680039,0.015048502983006,0.0254919148732934
"N_24_.1",0.0128888234180371,0.275609941077394,0.436402440063732,-0.0334643233479436,-0.143710240624376
"N_29_.1",-0.11463583676326,0.0856985109975621,0.229052275730862,-0.345682593752111,0.0604527354602941
"N_44_.1",0.163255322754222,-0.173171852186416,0.0840718719432893,0.426062704020068,0.227449476902567
"N_49_.1",0.309452850340758,0.0118460699620719,-0.0278106097738116,0.000253767833607798,0.0102180108532523
